country_code,parameter,unit,measurement_date,threshold_24h,country_daily_avg,locations_with_data,locations_exceeding,locations_comparable,reading_count,avg_hours_covered,reference_monitor_locations,exceedance_rate,rolling_7d_avg,rolling_7d_station_exceedance_rate
AE,pm10,µg/m³,2024-08-22,45.0,21.629166662693024,1,0,1,24,24.0,0,0.0,25.606168663469177,14.285714285714285
AE,pm10,µg/m³,2024-09-15,45.0,66.23125001457002,1,1,1,24,24.0,0,100.0,59.4354476757653,71.42857142857143
AE,pm10,µg/m³,2024-10-17,45.0,11.154456004983297,3,0,3,72,24.0,0,0.0,37.0682921533738,36.84210526315789
AE,pm10,µg/m³,2024-11-17,45.0,49.113387388211706,3,3,3,72,24.0,0,100.0,52.3721703471753,71.42857142857143
AE,pm10,µg/m³,2025-01-05,45.0,42.57450349911729,3,1,3,69,23.0,0,33.33333333333333,41.04909792645385,33.33333333333333
AE,pm10,µg/m³,2024-12-11,45.0,20.425795767594263,3,0,3,72,24.0,0,0.0,38.95761695163328,26.08695652173913
AE,pm10,µg/m³,2024-12-09,45.0,17.840756938413335,3,0,3,72,24.0,0,0.0,38.03635019263945,26.08695652173913
AE,pm10,µg/m³,2024-09-03,45.0,19.94513887498114,1,0,1,24,24.0,0,0.0,55.444560073040144,42.857142857142854
AE,pm10,µg/m³,2024-08-10,45.0,17.4319097439448,1,0,1,24,24.0,0,0.0,30.153361554323137,14.285714285714285
AE,pm10,µg/m³,2024-11-15,45.0,37.40196755638829,3,0,3,72,24.0,0,0.0,60.171537444613314,85.71428571428571
AE,pm10,µg/m³,2024-11-02,45.0,71.0058449683366,3,3,3,72,24.0,0,100.0,44.98040126011801,52.38095238095239
AE,pm10,µg/m³,2024-10-27,45.0,21.004513898933375,3,0,3,72,24.0,0,0.0,45.97538971396658,42.857142857142854
AE,pm10,µg/m³,2024-08-25,45.0,31.704166611035664,1,0,1,24,24.0,0,0.0,23.686921278399133,0.0
AE,pm10,µg/m³,2024-08-03,45.0,62.43735133844709,1,1,1,24,24.0,0,100.0,47.12062195639491,42.857142857142854
AE,pm10,µg/m³,2024-08-13,45.0,22.31788198153178,1,0,1,24,24.0,0,0.0,24.503649134192113,0.0
AE,pm10,µg/m³,2025-01-13,45.0,53.034735255083135,3,3,3,21,7.0,0,100.0,44.717657414499044,57.14285714285714
AE,pm10,µg/m³,2024-08-15,45.0,30.482291645473907,1,0,1,24,24.0,0,0.0,24.061903760028056,0.0
AE,pm10,µg/m³,2024-09-18,45.0,56.42673618925942,1,1,1,24,24.0,0,100.0,50.9953139808888,71.42857142857143
AE,pm10,µg/m³,2024-09-06,45.0,60.288333341810436,1,1,1,15,15.0,0,100.0,26.599938342678033,14.285714285714285
AE,pm10,µg/m³,2024-08-24,45.0,25.98692123757468,1,0,1,24,24.0,0,0.0,22.97871872548331,0.0
AE,pm10,µg/m³,2024-08-19,45.0,24.600173645549354,1,0,1,24,24.0,0,0.0,28.79393716868565,14.285714285714285
AE,pm10,µg/m³,2024-08-16,45.0,46.7992096857419,1,1,1,24,24.0,0,100.0,27.820769036671212,14.285714285714285
AE,pm10,µg/m³,2024-08-26,45.0,60.97083342075347,1,1,1,24,24.0,0,100.0,28.882729817714008,14.285714285714285
AE,pm10,µg/m³,2024-11-23,45.0,61.29347997020792,3,3,3,72,24.0,0,100.0,60.9105875101039,100.0
AE,pm10,µg/m³,2024-11-24,45.0,36.41564429137442,3,0,3,72,24.0,0,0.0,59.09662421055572,85.71428571428571
AE,pm10,µg/m³,2025-01-03,45.0,33.937602271385465,3,0,3,72,24.0,0,0.0,45.96064298619122,47.61904761904761
AE,pm10,µg/m³,2024-10-31,45.0,57.087326517811526,3,3,3,72,24.0,0,100.0,37.72812108751004,38.095238095238095
AE,pm10,µg/m³,2024-09-27,45.0,83.00428260697258,1,1,1,24,24.0,0,100.0,68.74128641874071,71.42857142857143
AE,pm10,µg/m³,2024-09-24,45.0,79.68819444709355,1,1,1,24,24.0,0,100.0,56.80401786357638,71.42857142857143
AE,pm10,µg/m³,2024-08-29,45.0,99.89513880676691,1,1,1,24,24.0,0,100.0,67.80591543985709,57.14285714285714
AE,pm10,µg/m³,2024-08-20,45.0,19.770833339956067,1,0,1,24,24.0,0,0.0,28.430073077031974,14.285714285714285
AE,pm10,µg/m³,2024-09-21,45.0,43.53489572472043,1,0,1,24,24.0,0,0.0,56.0697420665196,85.71428571428571
AE,pm10,µg/m³,2024-11-04,45.0,63.355690496939204,3,3,3,72,24.0,0,100.0,58.71996804851073,80.95238095238095
AE,pm10,µg/m³,2024-11-30,45.0,17.847440196684115,3,0,3,72,24.0,0,0.0,34.29858621705514,23.809523809523807
AE,pm10,µg/m³,2024-12-19,45.0,47.6827131399402,3,3,3,72,24.0,0,100.0,38.952362110560934,28.57142857142857
AE,pm10,µg/m³,2024-11-27,45.0,48.03329455720054,3,3,3,72,24.0,0,100.0,54.28047281027471,66.66666666666666
AE,pm10,µg/m³,2024-10-26,45.0,35.886689825190444,3,0,3,72,24.0,0,0.0,52.50401899542119,57.14285714285714
